# rice benchmark results: M2-static-router
# date: 2026-09-06T06:41:03Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 25.6.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkStaticRouterLookup1000-12    	31937650	        38.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkStaticRouterLookup1000-12    	31259733	        38.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkStaticRouterLookup1000-12    	31405322	        38.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkStaticRouterLookup1000-12    	31500885	        38.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkStaticRouterLookup1000-12    	31744632	        38.89 ns/op	      16 B/op	       1 allocs/op
BenchmarkStaticRouterLookup1000-12    	31105138	        38.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkStaticRouterLookup1000-12    	31467190	        38.40 ns/op	      16 B/op	       1 allocs/op
BenchmarkStaticRouterLookup1000-12    	31101813	        38.33 ns/op	      16 B/op	       1 allocs/op
BenchmarkStaticRouterMiss-12          	33222705	        36.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterMiss-12          	32838138	        36.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterMiss-12          	33046053	        36.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterMiss-12          	32771140	        36.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterMiss-12          	32839074	        36.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterMiss-12          	31277184	        36.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterMiss-12          	31972290	        36.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterMiss-12          	32811874	        36.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterMiss-12          	31134428	        36.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterMiss-12          	33208188	        36.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	35860456	        33.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	35916045	        33.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	35424745	        33.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	35041185	        33.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	36379621	        33.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	36404637	        33.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	36687991	        33.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	36410160	        33.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	35289014	        33.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRouterWrongVerb-12     	36432315	        33.28 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/vietpham102301/rice-http/bench	111.688s
