# rice benchmark results: M7-lifecycle
# date: 2026-09-18T10:30:33Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkChainDispatch1-12           	34713015	        34.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	34849698	        34.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	34925260	        34.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	34230090	        34.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	34677194	        34.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	34814016	        34.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	34522852	        34.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31708842	        37.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	30480415	        37.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31756008	        37.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31669754	        37.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31798431	        37.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31809003	        37.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	30415744	        37.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31774752	        37.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31806475	        37.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31823977	        37.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32042545	        37.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	31146313	        37.53 ns/op	       0 B/op	       0 allocs/op
