# rice benchmark results: M6-context-pooling
# date: 2026-09-17T18:23:46Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkChainDispatch5Grouped-12    	32988973	        37.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32753364	        37.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32419726	        37.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuild1000Routes-12          	    5378	    225115 ns/op	  265004 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5482	    229448 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5383	    230792 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5181	    228618 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5024	    227113 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5323	    227287 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5336	    228952 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5013	    228326 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5227	    228374 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5370	    230419 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8707 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8677 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8702 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8718 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8693 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8710 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8645 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8733 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8667 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8671 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	410864571	         2.940 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	409255539	         2.936 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	410698935	         2.931 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407423194	         2.938 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407742519	         2.939 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	408401440	         2.939 ns/op	       0 B/op	       0 allocs/op
