# rice benchmark results: M4-middleware-and-groups
# date: 2026-09-12T04:52:35Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 25.6.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkRiceDispatch-12             	13887843	        81.01 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	14412776	        80.96 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	15323240	        81.92 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	14970596	        81.61 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	14509166	        80.75 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	15116530	        85.22 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	13777029	        87.52 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11220248	       105.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11591896	       106.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	10889143	       105.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11048230	       106.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11503990	       104.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11872983	       102.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	10891544	       104.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11415054	       104.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11468144	       103.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11293479	       107.9 ns/op	     352 B/op	       1 allocs/op
