# rice benchmark results: post-M8-static-files
# date: 2026-09-24T19:06:56Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkChainDispatch1-12           	35127262	        34.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35050524	        34.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35280973	        34.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35298788	        34.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35185971	        34.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35151357	        34.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35137419	        34.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31100906	        37.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31915707	        37.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32141673	        37.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	30935408	        37.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32062270	        37.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31643169	        37.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32165796	        37.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32147700	        37.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32055883	        37.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32172766	        37.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32480420	        36.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32933443	        36.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32847351	        36.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32969938	        36.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32867668	        36.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32939508	        36.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32881591	        36.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32849636	        36.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32816697	        36.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32899658	        36.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuild1000Routes-12          	    5304	    226113 ns/op	  265051 B/op	    7506 allocs/op
BenchmarkBuild1000Routes-12          	    5224	    227596 ns/op	  265049 B/op	    7506 allocs/op
BenchmarkBuild1000Routes-12          	    5010	    229591 ns/op	  265049 B/op	    7506 allocs/op
BenchmarkBuild1000Routes-12          	    5355	    231060 ns/op	  265049 B/op	    7506 allocs/op
BenchmarkBuild1000Routes-12          	    5302	    231879 ns/op	  265049 B/op	    7506 allocs/op
BenchmarkBuild1000Routes-12          	    5253	    230870 ns/op	  265050 B/op	    7506 allocs/op
BenchmarkBuild1000Routes-12          	    5137	    230938 ns/op	  265049 B/op	    7506 allocs/op
BenchmarkBuild1000Routes-12          	    5338	    230162 ns/op	  265049 B/op	    7506 allocs/op
BenchmarkBuild1000Routes-12          	    5247	    229786 ns/op	  265049 B/op	    7506 allocs/op
BenchmarkBuild1000Routes-12          	    5383	    229822 ns/op	  265049 B/op	    7506 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8920 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8934 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8930 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8910 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8906 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8951 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8883 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8930 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8888 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.8878 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407320914	         2.950 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407734496	         2.957 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407252487	         2.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	404912431	         2.950 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	404373183	         2.950 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407527311	         2.948 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407352774	         2.972 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	398643171	         2.960 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	407589486	         2.951 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	405137595	         2.952 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31542147	        38.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31068396	        38.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31418649	        38.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31472004	        38.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	31565725	        38.17 ns/op	       0 B/op	       0 allocs/op
