# rice benchmark results: M8-compare-handler
# date: 2026-09-19T03:54:28Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro
# power: 'Battery Power'
# rice: b131556 (local, via replace)
# github.com/gin-gonic/gin v1.12.0
# github.com/labstack/echo/v5 v5.3.1
# github.com/gofiber/fiber/v3 v3.5.0
# github.com/valyala/fasthttp v1.73.0

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench/compare
cpu: Apple M2 Pro
BenchmarkHandler/param/echo-12          	10101853	       117.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/echo-12          	10287462	       116.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/echo-12          	10373268	       116.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/echo-12          	10346221	       116.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/echo-12          	10272297	       115.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/echo-12          	10397292	       116.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/echo-12          	10128006	       116.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/echo-12          	10095199	       117.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/echo-12          	10399248	       117.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/echo-12          	10221555	       116.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/param/fiber-12         	16381609	        73.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/param/fiber-12         	16546722	        72.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/param/fiber-12         	16517113	        73.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/param/fiber-12         	16358226	        72.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/param/fiber-12         	16216225	        72.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/param/fiber-12         	16577991	        73.01 ns/op	       0 B/op	       0 allocs/op
