# rice benchmark results: M5-error-handling
# date: 2026-09-14T15:14:21Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 25.6.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkDeferRecoverOverhead-12     	396909398	         3.018 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	397351870	         3.021 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	396642585	         3.025 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	396058666	         3.008 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	397977169	         3.013 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	397665702	         3.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	398441760	         3.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeferRecoverOverhead-12     	398855119	         3.020 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatch404-12              	12547258	        97.75 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatch404-12              	12234847	        98.40 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatch404-12              	12687805	        98.29 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatch404-12              	11895374	        99.76 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatch404-12              	12490923	       101.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatch404-12              	12139778	        98.36 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatch404-12              	10890276	       106.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatch404-12              	12015108	        99.58 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatch404-12              	11563923	       102.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatch404-12              	10857418	       107.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchHTTPError-12        	 9773041	       123.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchHTTPError-12        	 9562267	       114.5 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchHTTPError-12        	11342824	       122.7 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchHTTPError-12        	10000124	       120.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchHTTPError-12        	10304872	       125.2 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchHTTPError-12        	10918040	       124.1 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchHTTPError-12        	12310011	       119.5 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchHTTPError-12        	10864956	       118.4 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchHTTPError-12        	 9792070	       111.9 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchHTTPError-12        	10315429	       118.8 ns/op	     400 B/op	       2 allocs/op
BenchmarkDispatchPlainError-12       	14110633	        89.60 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	13211106	        88.88 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	14353930	        91.30 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	13496313	       113.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	10447740	        96.88 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	12082593	       122.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	 8962904	       124.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	 9843130	       112.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	11235170	       119.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPlainError-12       	 8967727	       123.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkDispatchPanic-12            	  141309	      8347 ns/op	    3472 B/op	       4 allocs/op
BenchmarkDispatchPanic-12            	  143984	      8353 ns/op	    3472 B/op	       4 allocs/op
BenchmarkDispatchPanic-12            	  140523	      8290 ns/op	    3472 B/op	       4 allocs/op
BenchmarkDispatchPanic-12            	  143998	      8347 ns/op	    3472 B/op	       4 allocs/op
BenchmarkDispatchPanic-12            	  144314	      8305 ns/op	    3472 B/op	       4 allocs/op
BenchmarkDispatchPanic-12            	  141985	      8349 ns/op	    3472 B/op	       4 allocs/op
BenchmarkDispatchPanic-12            	  144802	      8359 ns/op	    3472 B/op	       4 allocs/op
BenchmarkDispatchPanic-12            	  143344	      8322 ns/op	    3472 B/op	       4 allocs/op
BenchmarkDispatchPanic-12            	  143794	      8295 ns/op	    3472 B/op	       4 allocs/op
BenchmarkDispatchPanic-12            	  144630	      8361 ns/op	    3472 B/op	       4 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	11460114	       113.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	10094881	       118.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	10713141	       104.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	11339416	       105.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	10892697	       107.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	11111282	       101.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	11758364	       104.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	11876244	       104.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	11492523	       102.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12             	11853061	       105.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11129229	       109.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	10883761	       106.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	 9960124	       109.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11199187	       105.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	10594740	       108.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11823416	       107.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	10758608	       106.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11631818	       103.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	11888720	       106.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12     	10504564	       111.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 7519921	       153.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 7788134	       157.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 7984101	       147.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 8044429	       154.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 7565025	       161.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 7940185	       159.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 7763035	       159.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 6960750	       163.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 7153624	       167.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12             	 7165464	       170.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkMapLookup10-12              	187089826	         6.472 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	188367027	         6.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	186865423	         6.389 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	186548976	         6.382 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	178832191	         6.444 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	187511230	         6.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	187625743	         6.382 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	188040321	         6.386 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	188969272	         6.382 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	188652091	         6.381 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	193932184	         6.176 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	194120245	         6.180 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	192903108	         6.165 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	193035842	         6.236 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	192329318	         6.169 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	194079928	         6.161 ns/op	       0 B/op	       0 allocs/op
